Province,Author,Sample,Unique_Id,Flow,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,P,T
Harrat_Rahat,Stelten_2018,R15TS211,Medinah,,0.4304,0.0043,Stratigraphic,24.20407992,39.89900999,62.53,0.42,16.49,6.29,1.69,0.24,0.22,5.19,6.8,0.13,,0.28,,7.52,,6,0,,1,5,142,33,29.9,303.15,62.26,909.27,69.52,,0.25,578.51,63.62,141.5,17.55,67.75,14.07,4.2,12.49,2.09,12.6,2.52,6.77,1,6.28,0.99,17.73,4.21,,6.62,4.21,1.46,,,,,,,
Harrat_Rahat,Stelten_2018,R15TS210,Medinah,,0.4304,0.0043,Stratigraphic,24.20421045,39.89984786,63.63,0.31,16.37,5.61,1.9,0.3,0.19,5.15,6.48,0.07,,3.54,,31.05,,7,5,,5,10,157,35,22.56,458.78,64.43,575.27,44.23,,0.26,515.14,55.16,126.88,16.54,67.33,14.99,5.3,13.93,2.23,13.45,2.62,6.88,0.98,5.97,0.94,11.95,2.97,,4.6,2.97,1.46,,,,,,,
Harrat_Rahat,Stelten_2018,R15TS212,Medinah,,0.4304,0.0043,Stratigraphic,24.21050205,39.89579567,63.74,0.26,15.97,6.11,1.19,0.11,0.21,4.97,7.37,0.07,,0.33,,8.54,,4,2,,2,8,193,40,27.52,375.24,60.88,868.51,67.03,,0.21,560.99,61.57,137.55,17.14,66.95,13.85,4.21,12.57,2.05,12.46,2.45,6.55,0.95,6.07,0.95,16.91,4.01,,6.03,4.01,1.34,,,,,,,
Harrat_Rahat,Stelten_2018,R15TS213,Medinah,,0.4304,0.0043,Stratigraphic,24.21051114,39.89578589,63.69,0.25,16.03,6.12,1.18,0.1,0.21,4.98,7.36,0.07,,0.38,,8.69,,3,2,,2,6,194,42,28.88,315.44,62.18,886.47,67.8,,0.27,569.06,62.41,139.26,17.47,67.76,14.32,4.3,12.53,2.12,12.55,2.5,6.67,0.97,6.19,0.97,17.04,4.09,,6.11,4.09,1.44,,,,,,,
Harrat_Rahat,Stelten_2018,R16MS085,Medinah,,0.4619,0.0049,Ar-Ar,24.15263129,39.79604938,47.09,2.81,17.03,12.86,8.36,5.64,0.21,1.03,3.93,1.04,,0,,29.72,,178,76,,78,54,101,19,3.52,434.23,20.97,136.61,8.48,,0.06,56.01,10.22,25.62,3.6,16.22,4.14,1.59,4.59,0.76,4.56,0.87,2.27,0.3,1.76,0.26,3.23,0.62,,0.77,0.62,0.26,,,,,,,
Harrat_Rahat,Stelten_2018,R15TS206,Medinah,,0.5358,0.0118,Ar-Ar,24.21081979,39.92869687,56,1.01,17.13,10.24,3.88,1.24,0.26,3.08,6.51,0.65,,0,,5.36,,6,0,,2,21,143,26,57.92,32.37,78.69,1300.48,77.61,,0.61,113.69,78.41,170.59,20.41,76.19,15.95,2.24,13.93,2.48,15.32,3.14,8.79,1.37,9,1.51,25.02,5.27,,10.74,5.27,2.73,,,,,,,
Harrat_Rahat,Stelten_2018,R14AC003,Medinah,,0.5494,0.0047,Ar-Ar,24.19336635,39.87459617,57.62,0.75,17.38,9.18,3.32,0.84,0.25,3.33,6.9,0.44,,0,,14.68,,3,2,,1,13,139,27,23.74,399.38,63.53,766.13,53.32,,0.13,440.34,56.98,130.87,16.91,69.37,15.06,4.66,13.87,2.2,13.25,2.56,6.62,0.95,5.86,0.91,14.9,3.27,,5.19,3.27,0.84,,,,,,,
Harrat_Rahat,Stelten_2018,R14TS084,Medinah,,0.6635,0.0071,Ar-Ar,24.20002928,39.82311578,47.98,2.08,16.05,11.48,9.61,7.71,0.18,0.94,3.61,0.35,,0.04,,25.53,,223,296,,139,80,84,19,9.86,432.54,26.24,213.83,24.63,,0.11,159.11,19.23,42.22,5.45,22.09,5.24,1.89,5.6,0.89,5.29,1.03,2.7,0.37,2.23,0.35,4.74,1.68,,1.58,1.68,0.5,,,,,,,
Harrat_Rahat,Stelten_2018,R14AC018,Medinah,,0.7177,0.012,Ar-Ar,24.22315217,39.90845021,48.45,2,16.04,11.28,9.13,7.71,0.18,0.98,3.85,0.39,,0.07,,25.35,,205,309,,155,84,86,19,11.53,465.84,27.82,248.02,24.13,,0.14,147.34,20.47,45.71,5.91,24.49,5.89,1.98,5.88,0.96,5.73,1.14,2.93,0.4,2.52,0.37,5.27,1.63,,2.06,1.63,0.64,,,,,,,
Harrat_Rahat,Stelten_2018,R14AC022,Medinah,,0.7058,0.012,Stratigraphic,24.22734662,39.91081402,47.56,1.96,15.36,12.23,8.29,9.69,0.19,0.79,3.51,0.42,,0.49,,22.02,,179,460,,277,81,87,17,7.44,418.04,27.92,227.94,18.37,,0.05,91.87,18.29,42.53,5.66,24.03,5.71,1.98,5.79,0.96,5.82,1.12,2.92,0.4,2.53,0.38,4.94,1.26,,1.55,1.26,0.47,,,,,,2.596012229,1459.903312
Harrat_Rahat,Stelten_2018,R14AC088,Medinah,,0.7058,0.012,Stratigraphic,24.20768286,39.87898708,47.33,2.11,16.6,12.35,9.49,7.95,0.18,0.63,3.05,0.31,,2.84,,25.28,,232,167,,129,75,88,18,5.2,444.93,24.41,156.38,14.75,,0.07,113.54,13.82,32.39,4.42,19.27,4.81,1.7,5.09,0.86,5.1,0.99,2.58,0.35,2.13,0.34,3.63,1.14,,1.38,1.14,0.29,,,,,,,
Harrat_Rahat,Stelten_2018,R15DD087,Medinah,,0.7058,0.012,Stratigraphic,24.21635138,39.9084906,47.14,1.74,15.4,10.73,11.03,10.01,0.17,0.6,2.94,0.24,,0.38,,31.58,,274,514,,240,101,80,19,6.84,419.28,21.67,151.94,18.21,,0.05,164.75,12.59,28.68,3.85,16.87,4.21,1.5,4.4,0.76,4.5,0.88,2.24,0.3,1.87,0.29,3.44,1.49,,1.04,1.49,0.39,,,,,,2.172446541,1400.620746
Harrat_Rahat,Stelten_2018,R15TS207,Medinah,,0.7058,0.012,Stratigraphic,24.21155937,39.90485257,48.05,1.83,15.86,11.53,9.4,8.21,0.19,0.92,3.64,0.37,,0.03,,23.92,,204,329,,188,91,89,19,9.08,381.4,26.51,241.18,20.67,,0.11,119.05,19.16,43.46,5.58,23.3,5.41,1.88,5.45,0.91,5.47,1.07,2.82,0.4,2.35,0.39,4.94,1.44,,1.68,1.44,0.43,,,,,,,
Harrat_Rahat,Stelten_2018,R16MS100,Medinah,,0.7058,0.012,Stratigraphic,24.21499963,39.89117914,47.61,1.75,16.4,11.16,10.46,8.92,0.17,0.36,2.98,0.21,,0,,27.09,,242,359,,190,93,77,17,2.15,409.57,20.12,115.57,8.2,,0.01,47.12,9.1,21.55,3.02,13.48,3.55,1.37,4.05,0.68,4.15,0.82,2.13,0.29,1.78,0.26,2.76,0.59,,0.99,0.59,0.19,,,,,,2.235544462,1422.53847
