,Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Region,src_FeIII_totFe
779,Arabia,Harrat_Rahat,Downs_2019,R16MS109,Medinah,mz6,,,,0.41,0.05,Stratigraphic,24.04812067,39.97651839,55.61,1.084,16.2,11.8,4.79,1.15,0.337,2.72,5.72,0.581,2.5816000000000003,0.8,,32.7,,5.0,0.0,,2.0,15.0,159.0,30.0,22.3,395.0,69.73,619.0,47.53,,0.21,628,56.28,129.08,16.6,67.42,14.89,5.58,14.25,2.33,13.93,2.76,7.35,1.05,6.49,1.05,12.64,3.14,,5.24,4.23,0.9,,,,,,,0.18
780,Arabia,Harrat_Rahat,Downs_2019,R14TS043,Medinah,mzy,,,,0.41,0.0059,Stratigraphic,24.08194712,40.02690383,54.16,1.346,16.11,12.65,4.92,1.46,0.333,2.49,5.76,0.762,2.5244,0.0,,31.4,,8.0,1.0,,3.0,18.0,158.0,28.0,22.7,392.0,64.78,559.0,44.6,,0.24,499,55.13,126.22,16.38,67.7,14.77,5.35,13.89,2.25,13.21,2.61,6.89,0.97,5.93,0.95,11.65,2.91,,4.92,3.87,1.18,,,,,,,0.18
781,Arabia,Harrat_Rahat,Downs_2019,R14TS046,Medinah,mzy,,,,0.4105,0.0041,Ar-Ar,24.07913652,40.02314348,54.01,1.364,16.08,12.45,5.17,1.6,0.326,2.52,5.69,0.783,2.5536,0.71,,31.2,,6.0,0.0,,3.0,19.0,157.0,29.0,23.4,404.0,63.48,543.0,44.17,,0.18,497,55.13,127.68,16.51,67.6,14.73,5.28,13.74,2.19,13.04,2.57,6.77,0.97,5.94,0.94,11.45,2.93,,5.03,3.82,0.67,,,,,,,0.18
782,Arabia,Harrat_Rahat,Downs_2019,R14TS059,Medinah,mzy,,,,0.41,0.0059,Ar-Ar,24.04701264,39.98031591,49.44,2.636,16.32,12.71,7.51,3.89,0.244,1.71,4.54,1.001,1.718,0.0,,23.7,,162.0,8.0,,19.0,40.0,118.0,23.0,14.3,480.0,45.42,374.0,33.3,,0.11,295,37.22,85.9,11.22,47.48,10.52,3.66,10.25,1.59,9.44,1.82,4.72,0.67,3.96,0.63,7.87,2.24,,3.11,2.78,0.78,,,,,,,0.18
783,Arabia,Harrat_Rahat,Downs_2019,R14TS113,Medinah,mzy,,,,0.41,0.0059,Stratigraphic,24.03773246,39.98671602,53.72,1.446,16.24,12.35,5.26,1.71,0.321,2.38,5.69,0.875,2.4734,0.0,,29.7,,10.0,0.0,,3.0,18.0,157.0,29.0,20.2,391.0,63.0,537.0,42.4,,0.18,454,53.51,123.67,16.07,66.31,14.66,5.24,13.68,2.22,13.02,2.54,6.61,0.94,5.72,0.88,11.36,2.85,,4.73,3.87,1.1,,,,,,,0.18
784,Arabia,Harrat_Rahat,Downs_2019,R15DS186,Medinah,mzy,,,,0.41,0.0059,Stratigraphic,24.05452061,39.99941336,53.89,1.345,16.1,12.3,5.72,1.51,0.329,2.42,5.66,0.736,2.5376,0.57,,31.1,,10.0,1.0,,4.0,17.0,156.0,28.0,22.6,459.0,64.43,575.0,44.23,,0.26,515,55.16,126.88,16.54,67.33,14.99,5.3,13.93,2.23,13.45,2.62,6.88,0.98,5.97,0.94,11.95,2.97,,4.6,3.85,1.46,,,,,,,0.18
785,Arabia,Harrat_Rahat,Downs_2019,R14AC079,Medinah,og4,,,,0.3191,0.0028,Ar-Ar,24.11320669,39.93063807,58.45,0.689,17.44,8.24,3.07,0.7,0.243,3.59,7.22,0.347,2.6308,0.0,,11.8,,3.0,1.0,,1.0,12.0,137.0,29.0,32.2,274.0,57.68,875.0,67.41,,0.35,614,60.31,131.54,16.14,63.4,13.14,4.09,11.4,1.94,11.79,2.3,6.12,0.91,5.83,0.93,16.97,4.26,,6.54,5.12,1.77,,,,,,,0.18
786,Arabia,Harrat_Rahat,Downs_2019,R14AC082,Medinah,og4,,,,0.313,0.0031,Ar-Ar,24.11271372,39.93446206,58.57,0.649,17.35,8.33,3.1,0.66,0.239,3.65,7.13,0.32,2.6633999999999998,0.0,,11.0,,4.0,1.0,,1.0,14.0,137.0,28.0,34.0,259.0,57.59,900.0,67.0,,0.39,618,61.32,133.17,16.27,62.92,12.83,4.05,11.48,1.96,11.68,2.33,6.32,0.93,5.92,0.95,17.29,4.22,,7.09,5.33,1.82,,,,,,,0.18
787,Arabia,Harrat_Rahat,Downs_2019,R14AC081,Medinah,Older benmoreite lava below og4,,,,1.1379,0.0031,Ar-Ar,24.10982084,39.93197141,57.65,0.664,17.64,9.12,3.48,0.77,0.251,2.94,7.03,0.454,2.678,0.2,,5.4,,3.0,1.0,,2.0,17.0,146.0,26.0,31.3,359.0,57.95,826.0,71.23,,0.32,430,61.72,133.9,16.25,61.77,12.54,3.71,10.92,1.83,11.28,2.25,6.19,0.94,6.23,0.99,16.42,4.8,,7.22,5.05,1.72,,,,,,,0.18
788,Arabia,Harrat_Rahat,Downs_2019,R14TRO024,Medinah,oma,,,,0.22,0.04,Stratigraphic,24.19376309,39.84915726,60.34,0.374,17.62,7.33,2.74,0.32,0.231,4.11,6.74,0.185,2.852,1.64,,4.3,,1.0,0.0,,1.0,10.0,143.0,28.0,37.0,238.0,61.54,1021.0,73.83,,0.31,572,66.32,142.6,17.18,64.01,12.77,3.57,11.32,1.92,11.88,2.41,6.57,1.0,6.49,1.02,19.75,4.58,,10.19,5.55,1.37,,,,,,,0.18
789,Arabia,Harrat_Rahat,Downs_2019,R15AC115,Medinah,oma,,,,0.22,0.04,Stratigraphic,24.19123849,39.85487071,59.76,0.37,17.6,7.1,3.85,0.35,0.226,3.99,6.6,0.16,2.8233999999999995,2.52,,3.7,,5.0,2.0,,1.0,10.0,137.0,29.0,34.5,742.0,59.82,999.0,70.34,,0.19,566,65.16,141.17,16.75,62.61,12.4,3.48,10.96,1.91,11.64,2.34,6.53,0.98,6.32,1.01,19.36,4.59,,7.82,5.67,1.27,,,,,,,0.18
790,Arabia,Harrat_Rahat,Downs_2019,R14TS118,Medinah,oqa,,,,0.028,0.017,Stratigraphic,24.01011212,39.92632587,56.42,1.196,17.24,8.99,4.36,1.55,0.216,3.22,6.09,0.709,2.3542,0.68,,10.6,,15.0,2.0,,1.0,14.0,118.0,27.0,24.6,379.0,50.93,606.0,44.41,,0.22,405,52.15,117.71,15.13,60.63,12.81,4.11,11.55,1.84,10.68,2.04,5.42,0.76,4.76,0.76,12.13,2.78,,4.76,3.88,1.35,,,,,,,0.18
791,Arabia,Harrat_Rahat,Downs_2019,R15DD109,Medinah,ort,,,,0.028,0.017,Stratigraphic,24.24960474,39.87453707,56.63,0.884,17.24,9.13,4.0,1.13,0.241,3.25,6.97,0.523,2.7592,1.01,,7.8,,12.0,2.0,,3.0,25.0,138.0,27.0,28.8,426.0,59.08,782.0,60.09,,0.28,427,63.85,137.96,16.71,63.66,13.11,3.71,11.75,1.94,11.61,2.31,6.37,0.94,5.91,0.95,15.35,3.73,,3.13,4.4,1.42,,,,,,,0.18
792,Arabia,Harrat_Rahat,Downs_2019,R14AC041,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.14326976,39.88702977,60.78,0.398,17.2,7.24,2.36,0.33,0.248,4.52,6.78,0.159,3.0058,0.76,,11.4,,5.0,1.0,,2.0,7.0,160.0,31.0,36.0,141.0,74.63,1141.0,79.43,,0.43,910,68.76,150.29,18.77,73.26,15.49,4.35,13.75,2.35,14.9,3.0,8.19,1.21,7.76,1.27,21.54,4.61,,7.93,5.45,1.44,,,,,,,0.18
793,Arabia,Harrat_Rahat,Downs_2019,R14AC042,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.14326976,39.88702977,59.08,0.608,16.97,8.49,3.26,0.6,0.261,3.76,6.66,0.303,2.7756,0.57,,15.7,,5.0,2.0,,2.0,8.0,150.0,29.0,33.1,232.0,65.35,905.0,71.23,,0.18,679,62.94,138.78,16.99,65.03,13.77,4.03,12.58,2.13,13.18,2.64,7.29,1.08,6.91,1.16,18.56,4.56,,5.12,5.75,0.74,,,,,,,0.18
794,Arabia,Harrat_Rahat,Downs_2019,R14AC046,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.14754103,39.88712814,60.0,0.452,17.13,8.14,2.61,0.49,0.266,4.21,6.5,0.199,2.918,1.18,,13.6,,7.0,3.0,,1.0,11.0,162.0,30.0,32.7,163.0,69.93,1064.0,73.53,,0.3,871,65.71,145.9,18.26,70.04,15.11,4.47,13.37,2.32,14.36,2.84,7.82,1.17,7.6,1.28,20.26,4.32,,9.28,5.34,0.84,,,,,,,0.18
795,Arabia,Harrat_Rahat,Downs_2019,R14AC049,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.14235475,39.902918,59.69,0.565,16.97,8.31,2.79,0.55,0.261,3.74,6.85,0.279,2.7794,0.08,,15.3,,5.0,2.0,,3.0,13.0,167.0,30.0,33.0,202.0,64.79,930.0,72.88,,0.19,696,63.46,138.97,17.02,65.27,13.83,3.97,12.51,2.14,13.12,2.6,7.22,1.08,7.06,1.16,18.94,4.69,,3.75,5.97,1.03,,,,,,,0.18
796,Arabia,Harrat_Rahat,Downs_2019,R14AC093,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.15493275,39.89724836,59.32,0.477,16.72,7.78,3.82,0.44,0.251,4.02,6.94,0.228,2.858,1.49,,14.0,,4.0,2.0,,3.0,10.0,158.0,31.0,36.4,180.0,72.0,981.0,77.56,,0.13,768,66.29,142.9,17.68,65.86,14.24,3.91,12.75,2.21,13.69,2.77,7.75,1.16,7.61,1.24,20.0,4.9,,9.01,6.09,0.56,,,,,,,0.18
797,Arabia,Harrat_Rahat,Downs_2019,R14AC094,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.14048001,39.87905842,59.22,0.558,16.96,8.37,3.19,0.55,0.262,3.77,6.85,0.267,2.8272000000000004,0.64,,15.5,,5.0,1.0,,2.0,15.0,158.0,30.0,33.3,205.0,67.98,921.0,72.48,,0.21,696,64.11,141.36,17.3,66.0,13.73,4.03,12.85,2.18,13.41,2.66,7.41,1.11,7.26,1.18,18.94,4.83,,3.98,5.83,1.85,,,,,,,0.18
798,Arabia,Harrat_Rahat,Downs_2019,R16DD307,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.13059817,39.9071064,59.33,0.477,16.77,7.48,4.2,0.78,0.245,3.95,6.52,0.242,2.8260000000000005,2.37,,14.3,,5.0,4.0,,4.0,16.0,159.0,29.0,39.8,263.0,66.02,856.0,75.09,,0.62,711,65.65,141.3,17.42,66.2,13.77,3.9,12.63,2.12,13.19,2.65,7.31,1.1,7.18,1.13,18.46,4.75,,9.53,5.25,1.42,,,,,,,0.18
799,Arabia,Harrat_Rahat,Downs_2019,R16MS081,Medinah,osa,,,,0.41,0.05,Stratigraphic,24.14017773,39.8922442,59.19,0.555,16.97,8.28,3.28,0.57,0.259,3.89,6.73,0.279,2.757,1.08,,15.0,,2.0,1.0,,3.0,10.0,157.0,30.0,33.7,204.0,69.24,941.0,72.5,,0.19,700,63.48,137.85,16.98,65.79,13.76,4.06,12.74,2.17,13.64,2.72,7.52,1.16,7.31,1.19,18.98,4.57,,6.94,5.8,1.6,,,,,,,0.18
800,Arabia,Harrat_Rahat,Downs_2019,R14AC037,Medinah,oz4,,,,0.4302,0.0069,Stratigraphic,24.06629232,39.95351208,56.64,0.914,16.78,10.38,4.06,0.94,0.305,3.38,6.09,0.513,2.3948,0.21,,18.9,,5.0,0.0,,1.0,12.0,142.0,29.0,25.0,360.0,56.49,602.0,46.95,,0.2,654,53.39,119.74,15.43,61.86,13.49,4.61,12.21,1.98,11.97,2.28,6.03,0.85,5.48,0.9,12.46,3.14,,4.99,3.87,1.53,,,,,,,0.18
801,Arabia,Harrat_Rahat,Downs_2019,R14AC039,Medinah,oz4,,,,0.4302,0.0069,Stratigraphic,24.0627264,39.95617085,57.72,0.774,16.96,9.42,3.66,0.84,0.277,3.52,6.42,0.418,2.2268,0.51,,16.3,,5.0,2.0,,1.0,11.0,167.0,28.0,25.0,287.0,53.36,578.0,43.76,,0.21,676,49.66,111.34,14.1,57.03,12.27,4.49,11.4,1.87,10.93,2.12,5.77,0.83,5.26,0.88,11.95,2.99,,6.3,3.82,1.13,,,,,,,0.18
802,Arabia,Harrat_Rahat,Downs_2019,R16DD164,Medinah,oz4,,,,0.4302,0.0069,Stratigraphic,24.06572662,39.97165502,57.39,0.826,16.89,9.99,3.86,0.85,0.288,3.57,5.9,0.441,2.3466,0.96,,17.7,,5.0,0.0,,3.0,13.0,132.0,27.0,25.8,312.0,56.19,608.0,46.23,,0.22,691,51.97,117.33,15.07,60.65,13.13,4.64,12.06,1.97,11.71,2.26,6.0,0.88,5.62,0.92,12.46,3.04,,5.01,3.89,1.29,,,,,,,0.18
803,Arabia,Harrat_Rahat,Downs_2019,R16DD171,Medinah,oz4,,,,0.4334,0.0029,Ar-Ar,24.06898002,39.99382048,56.57,0.92,16.85,10.31,4.1,0.97,0.309,3.37,6.08,0.526,2.4072,0.92,,18.5,,4.0,0.0,,3.0,13.0,140.0,28.0,26.3,325.0,57.63,586.0,46.97,,0.25,658,53.32,120.36,15.47,62.35,13.37,4.64,12.43,2.01,11.93,2.34,6.09,0.89,5.55,0.88,12.44,3.09,,4.98,3.54,0.47,,,,,,,0.18
804,Arabia,Harrat_Rahat,Downs_2019,R16MS062,Medinah,oz4,,,,0.4155,0.0062,Ar-Ar,24.06754738,40.00986163,57.24,0.819,16.81,9.99,4.02,0.83,0.306,3.58,5.98,0.432,2.433,0.58,,18.2,,4.0,0.0,,3.0,14.0,140.0,28.0,27.1,276.0,58.52,605.0,47.86,,0.16,681,53.98,121.65,15.61,62.59,13.49,4.63,12.46,2.03,12.23,2.36,6.31,0.92,5.81,0.94,12.67,3.19,,5.37,4.1,1.28,,,,,,,0.18
805,Arabia,Harrat_Rahat,Downs_2019,R16DD277A,Medinah,oz5,,,,0.41,0.05,Stratigraphic,24.05907837,39.971841,59.49,0.46,17.0,8.48,3.07,0.36,0.279,4.25,6.42,0.184,2.5868,1.3,,12.1,,3.0,1.0,,2.0,8.0,142.0,31.0,31.4,202.0,61.75,695.0,53.57,,0.14,749,58.9,129.34,16.53,65.49,14.34,4.62,12.93,2.12,13.0,2.55,6.91,1.02,6.58,1.11,14.78,3.52,,5.99,4.76,0.96,,,,,,,0.18
806,Arabia,Harrat_Rahat,Downs_2019,R16DD285,Medinah,oz5,,,,0.41,0.05,Stratigraphic,24.06054412,39.95997083,59.45,0.422,16.73,8.29,3.74,0.34,0.272,4.23,6.34,0.182,2.6366000000000005,1.59,,10.9,,5.0,0.0,,1.0,11.0,142.0,30.0,31.4,188.0,63.86,692.0,53.56,,0.31,747,58.92,131.83,16.62,65.26,13.96,4.59,12.89,2.13,13.07,2.59,6.96,1.03,6.67,1.11,14.52,3.52,,6.28,4.8,1.52,,,,,,,0.18
807,Arabia,Harrat_Rahat,Downs_2019,R14TS047,Medinah,ozy,,,,0.4188,0.0019,Ar-Ar,24.05530507,39.97155688,58.62,0.58,16.82,9.07,3.56,0.53,0.294,3.91,6.36,0.262,2.5362,1.06,,14.7,,2.0,1.0,,2.0,10.0,145.0,29.0,29.4,226.0,61.38,669.0,51.63,,0.17,711,57.13,126.81,16.18,64.71,13.95,4.62,12.75,2.09,12.51,2.46,6.66,0.97,6.26,1.04,13.86,3.37,,5.77,4.5,1.55,,,,,,,0.18
808,Arabia,Harrat_Rahat,Downs_2019,R14TS107,Medinah,ozy,,,,0.4188,0.0019,Stratigraphic,24.0522933,39.96510224,58.37,0.69,16.42,9.82,3.54,0.61,0.316,3.27,6.62,0.33,2.6848,0.46,,24.1,,4.0,0.0,,2.0,13.0,159.0,30.0,30.3,276.0,67.74,594.0,52.02,,0.26,972,58.74,134.24,16.83,67.92,14.77,5.7,13.86,2.29,13.69,2.68,7.13,1.01,6.34,1.01,12.83,3.43,,5.95,3.91,1.06,,,,,,,0.18
809,Arabia,Harrat_Rahat,Downs_2019,R15DS185,Medinah,ozy,,,,0.4188,0.0019,Stratigraphic,24.0590536,39.99814037,58.03,0.726,16.83,9.48,3.68,0.67,0.304,3.7,6.24,0.347,2.5308,0.38,,16.7,,6.0,0.0,,3.0,11.0,143.0,29.0,27.9,282.0,59.91,640.0,49.87,,0.22,699,56.03,126.54,16.07,63.99,13.92,4.63,12.65,2.06,12.44,2.4,6.54,0.95,6.04,1.0,13.43,3.32,,5.24,4.32,1.52,,,,,,,0.18
810,Arabia,Harrat_Rahat,Downs_2019,R16DD281,Medinah,ozy,,,,0.4188,0.0019,Stratigraphic,24.05842841,39.96465636,59.1,0.541,16.82,9.0,3.2,0.42,0.296,4.05,6.34,0.236,2.5962,0.58,,14.3,,2.0,1.0,,1.0,11.0,142.0,31.0,30.4,206.0,62.22,686.0,52.93,,0.32,714,58.28,129.81,16.46,66.08,14.08,4.58,12.88,2.13,12.79,2.55,6.83,1.0,6.44,1.05,14.26,3.5,,3.43,4.65,1.49,,,,,,,0.18
816,Arabia,Harrat_Rahat,Downs_2019,R14AC040,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.14320048,39.88651751,47.47,2.119,16.93,12.74,9.4,6.25,0.194,0.75,3.73,0.41,0.8009999999999999,0.68,,24.5,,257.0,30.0,,71.0,66.0,92.0,19.0,6.1,452.0,29.51,197.0,16.24,,0.06,98,16.68,40.05,5.41,23.81,5.77,2.1,6.09,1.02,6.14,1.2,3.07,0.43,2.57,0.41,4.28,1.12,,1.36,0.93,0.35,,,,,,,0.18
817,Arabia,Harrat_Rahat,Downs_2019,R14AC047,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.14875388,39.88199882,47.66,1.628,15.79,12.13,10.51,8.28,0.193,0.49,3.03,0.296,0.5978,0.0,,27.8,,225.0,285.0,,141.0,101.0,97.0,19.0,3.8,286.0,25.12,162.0,12.4,,0.02,90,12.26,29.89,4.09,18.19,4.62,1.63,5.06,0.83,5.22,1.02,2.61,0.37,2.18,0.35,3.6,0.78,,0.9,0.68,0.24,,,,,,,0.18
818,Arabia,Harrat_Rahat,Downs_2019,R14AC095,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.14200244,39.87816339,50.88,2.039,16.71,12.49,6.11,2.78,0.243,2.21,5.53,1.013,2.2104,0.12,,13.9,,53.0,0.0,,4.0,31.0,121.0,24.0,17.8,457.0,51.25,550.0,45.19,,0.14,289,48.81,110.52,14.21,57.42,12.19,3.83,11.56,1.85,10.87,2.05,5.4,0.74,4.62,0.74,10.61,2.97,,3.52,2.94,1.01,,,,,,,0.18
819,Arabia,Harrat_Rahat,Downs_2019,R14DS044,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,23.99277843,39.87757079,46.33,2.18,16.85,12.45,10.55,7.64,0.184,0.33,3.26,0.221,0.4662,0.51,,28.0,,288.0,77.0,,103.0,77.0,89.0,19.0,1.7,452.0,24.27,135.0,8.1,,0.02,59,9.1,23.31,3.44,15.71,4.18,1.66,4.77,0.81,4.94,0.97,2.53,0.35,2.09,0.31,3.16,0.58,,1.09,0.47,0.17,,,,,,,0.18
820,Arabia,Harrat_Rahat,Downs_2019,R14TS127,Medinah,Qv,,,,0.9862,0.0107,Ar-Ar,24.05522176,39.92524292,48.25,1.821,17.04,11.82,9.58,6.94,0.182,0.56,3.51,0.293,0.6468,0.0,,23.7,,218.0,77.0,,96.0,86.0,96.0,19.0,5.1,423.0,24.1,171.0,14.9,,0.03,83,13.54,32.34,4.4,18.85,4.77,1.73,5.13,0.85,5.13,0.98,2.54,0.34,2.05,0.3,3.86,1.01,,1.24,0.91,0.32,,,,,,,0.18
821,Arabia,Harrat_Rahat,Downs_2019,R15AC113,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.18722439,39.86521108,49.94,2.446,17.03,11.87,7.23,3.89,0.204,1.8,4.92,0.676,1.5144,1.25,,17.0,,149.0,9.0,,22.0,37.0,109.0,23.0,17.5,537.0,36.96,372.0,32.75,,0.23,264,33.74,75.72,9.73,39.89,8.83,2.94,8.37,1.32,7.83,1.47,3.87,0.54,3.29,0.51,7.83,2.26,,3.2,2.6,0.94,,,,,,,0.18
822,Arabia,Harrat_Rahat,Downs_2019,R15DD040,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.05989484,39.77139843,47.34,2.238,15.7,12.89,8.9,7.69,0.203,0.79,3.74,0.506,0.9024,0.48,,23.0,,245.0,274.0,,175.0,57.0,102.0,19.0,7.7,438.0,30.01,221.0,20.43,,0.06,115,19.04,45.12,6.12,26.4,6.37,2.23,6.48,1.05,6.24,1.21,3.13,0.43,2.57,0.41,4.82,1.36,,1.61,1.34,0.5,,,,,,,0.18
823,Arabia,Harrat_Rahat,Downs_2019,R15DD042,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.05810856,39.77100416,46.66,2.269,15.75,12.38,10.41,7.53,0.208,0.75,3.5,0.538,0.906,2.07,,22.7,,203.0,254.0,,166.0,59.0,91.0,18.0,6.0,561.0,29.98,214.0,20.29,,0.07,343,19.23,45.3,6.15,26.88,6.32,2.25,6.53,1.07,6.32,1.22,3.13,0.44,2.56,0.39,4.69,1.35,,2.03,1.27,0.77,,,,,,,0.18
824,Arabia,Harrat_Rahat,Downs_2019,R15DD048,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.11664706,39.75198918,46.44,3.233,16.47,13.03,9.04,6.48,0.193,0.81,3.89,0.416,0.859,0.03,,25.3,,260.0,111.0,,81.0,59.0,90.0,19.0,6.1,556.0,28.72,207.0,21.86,,0.07,117,18.3,42.95,5.81,25.66,6.06,2.25,6.38,1.03,6.01,1.16,3.09,0.43,2.43,0.37,4.56,1.52,,1.59,1.26,0.42,,,,,,,0.18
825,Arabia,Harrat_Rahat,Downs_2019,R15DD063,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.12237459,39.81338791,48.4,2.179,16.39,11.93,8.48,7.07,0.193,0.97,3.88,0.506,1.0462,0.85,,20.9,,254.0,191.0,,140.0,59.0,86.0,19.0,9.9,485.0,29.66,262.0,24.54,,0.1,127,23.04,52.31,6.74,27.84,6.42,2.17,6.34,1.03,6.13,1.19,3.09,0.43,2.6,0.4,5.57,1.71,,1.2,1.76,0.62,,,,,,,0.18
826,Arabia,Harrat_Rahat,Downs_2019,R15MS011,Medinah,Qv,,,,0.9862,0.0107,Stratigraphic,24.18652063,39.86826821,50.14,2.39,16.97,11.66,7.14,3.94,0.208,1.84,5.02,0.689,1.5774,1.22,,17.3,,138.0,8.0,,21.0,35.0,109.0,22.0,16.0,567.0,37.94,390.0,33.95,,0.15,283,35.08,78.87,10.07,41.53,8.77,3.0,8.46,1.36,7.97,1.51,3.97,0.55,3.41,0.54,8.25,2.39,,3.11,2.78,1.07,,,,,,,0.18
832,Arabia,Harrat_Rahat,Downs_2019,R14AC029,Medinah,tef,,,,0.0723,0.0028,Ar-Ar,24.10933015,39.95584761,63.16,0.104,17.75,4.43,0.81,0.03,0.178,5.14,8.37,0.025,5.0144,0.68,,0.8,,1.0,2.0,,2.0,4.0,202.0,42.0,72.7,14.0,107.1,1487.0,128.02,,0.32,34,124.7,250.72,28.19,98.65,19.42,2.1,17.12,3.2,20.28,4.18,11.91,1.79,11.92,1.83,33.24,9.17,,15.13,13.73,3.41,,,,,,,0.18
833,Arabia,Harrat_Rahat,Downs_2019,R14AC038,Medinah,tef,,,,0.088,0.0018,Stratigraphic,24.06549981,39.95315213,63.6,0.119,17.62,4.3,1.37,0.12,0.173,5.01,7.65,0.041,4.1886,0.92,,1.5,,2.0,2.0,,0.0,5.0,150.0,40.0,62.0,31.0,93.16,1354.0,111.03,,0.49,117,105.9,209.43,24.0,83.26,16.56,2.0,14.42,2.7,17.37,3.51,10.05,1.53,10.14,1.66,30.1,8.19,,14.09,11.82,3.04,,,,,,,0.18
834,Arabia,Harrat_Rahat,Downs_2019,R14AC055,Medinah,tef,,,,0.0837,0.0016,Ar-Ar,24.0722814,39.93427706,63.41,0.114,17.69,4.22,1.01,0.06,0.179,5.14,8.15,0.03,5.051,0.67,,0.3,,1.0,3.0,,3.0,6.0,201.0,43.0,74.4,21.0,109.2,1430.0,127.57,,0.87,50,122.18,252.55,27.75,97.29,19.29,2.11,16.88,3.08,20.05,4.19,11.72,1.79,11.5,1.85,32.29,9.03,,28.58,14.03,4.1,,,,,,,0.18
835,Arabia,Harrat_Rahat,Downs_2019,R14AC070,Medinah,tef,,,,0.0869,0.0019,Ar-Ar,24.07572041,39.93754807,63.35,0.118,17.8,4.49,0.8,0.12,0.181,5.12,7.99,0.033,4.9764,0.57,,1.1,,3.0,2.0,,2.0,4.0,202.0,43.0,71.9,15.0,114.25,1436.0,124.62,,0.72,49,121.42,248.82,27.94,97.07,19.01,2.05,16.82,3.15,20.91,4.38,12.83,1.9,12.52,1.96,31.79,8.73,,19.04,17.54,4.3,,,,,,,0.18
836,Arabia,Harrat_Rahat,Downs_2019,R14AC074,Medinah,tef,,,,0.088,0.0018,Stratigraphic,24.08828551,39.93123517,63.4,0.114,17.9,4.4,0.84,0.07,0.181,5.16,7.91,0.031,5.0342,0.73,,0.7,,2.0,3.0,,2.0,3.0,201.0,42.0,74.1,33.0,104.07,1485.0,124.07,,0.72,40,125.0,251.71,28.32,98.94,19.47,2.16,16.88,3.11,19.86,4.05,11.45,1.79,11.65,1.8,33.27,8.65,,19.7,13.81,2.95,,,,,,,0.18
837,Arabia,Harrat_Rahat,Downs_2019,R14TS109,Medinah,tef,,,,0.088,0.0018,Stratigraphic,24.0548909,39.95846336,63.66,0.115,18.33,4.59,0.77,0.19,0.186,5.25,6.86,0.047,6.362000000000001,1.64,,0.7,,4.0,3.0,,2.0,7.0,199.0,44.0,71.2,99.0,95.54,1553.0,132.4,,0.93,39,127.62,318.1,28.36,96.34,18.0,2.07,15.84,2.81,18.09,3.76,10.95,1.72,11.19,1.7,34.3,9.25,,22.21,14.16,2.83,,,,,,,0.18
838,Arabia,Harrat_Rahat,Downs_2019,R14TS110,Medinah,tef,,,,0.088,0.0018,Stratigraphic,24.0548909,39.95846336,63.68,0.11,18.14,4.4,0.8,0.18,0.185,5.23,7.25,0.029,5.271799999999999,1.21,,0.4,,3.0,2.0,,0.0,7.0,200.0,45.0,70.8,42.0,100.06,1528.0,130.82,,0.85,35,127.13,263.59,28.6,96.53,18.22,2.03,16.15,2.94,18.74,3.9,11.25,1.78,11.38,1.72,33.45,9.1,,20.99,14.01,4.05,,,,,,,0.18
839,Arabia,Harrat_Rahat,Downs_2019,R14TS117,Medinah,tef,,,,0.088,0.0018,Stratigraphic,24.04677623,39.93730827,63.35,0.108,18.2,4.52,0.92,0.2,0.184,5.07,7.42,0.032,5.1948,1.97,,0.3,,2.0,1.0,,2.0,4.0,201.0,42.0,74.7,34.0,112.43,1530.0,132.49,,0.79,35,127.82,259.74,29.22,101.73,20.02,2.22,17.89,3.25,20.75,4.27,12.15,1.88,12.18,1.87,34.02,9.24,,17.78,14.05,3.7,,,,,,,0.18
