> -W1p,blue,-
9.869310500225327021e-02 1.479116518920773116e+00
9.909909909909908610e-02 1.481249887860935699e+00
9.950472760018010121e-02 1.483382677249292625e+00
9.990999099909991799e-02 1.485514886255881795e+00
1.003148897885740021e-01 1.487646514055317892e+00
1.007194244604316530e-01 1.489777559826767739e+00
1.011235955056179747e-01 1.491908022753928753e+00
1.015274034141958742e-01 1.494037902025005859e+00
1.019308486753480042e-01 1.496167196832691282e+00
1.023339317773788032e-01 1.498295906374139896e+00
1.027366532077164663e-01 1.500424029850946805e+00
1.031390134529148045e-01 1.502551566469128463e+00
1.035410129986553268e-01 1.504678515439096032e+00
1.039426523297490995e-01 1.506804875975638947e+00
1.043439319301388279e-01 1.508930647297898275e+00
1.047448522829006329e-01 1.511055828629350950e+00
1.051454138702460905e-01 1.513180419197781124e+00
1.055456171735241477e-01 1.515304418235266404e+00
1.059454626732230648e-01 1.517427824978151207e+00
1.063449508489723028e-01 1.519550638667028553e+00
1.067440821795444528e-01 1.521672858546718521e+00
1.071428571428571230e-01 1.523794483866247607e+00
1.075412762159750069e-01 1.525915513878828511e+00
1.079393398751115063e-01 1.528035947841838382e+00
1.083370485956308554e-01 1.530155785016799275e+00
1.087344028520499245e-01 1.532275024669359276e+00
1.091314031180400795e-01 1.534393666069268969e+00
1.095280498664292085e-01 1.536511708490364558e+00
1.099243435692033866e-01 1.538629151210547885e+00
1.103202846975088885e-01 1.540745993511762002e+00
1.107158737216540623e-01 1.542862234679981182e+00
1.111111111111111049e-01 1.544977874005178275e+00
1.115059973345179922e-01 1.547092910781317832e+00
1.119005328596802962e-01 1.549207344306328560e+00
1.122947181535730032e-01 1.551321173882087123e+00
1.126885536823424988e-01 1.553434398814400375e+00
1.130820399113082048e-01 1.555547018412982263e+00
1.134751773049645363e-01 1.557659031991438514e+00
1.138679663269827197e-01 1.559770438867247755e+00
1.142604074402125830e-01 1.561881238361740198e+00
1.146525011066843874e-01 1.563991429800082100e+00
1.150442477876106318e-01 1.566101012511255108e+00
1.154356479433878840e-01 1.568209985828038056e+00
1.158267020335985859e-01 1.570318349086991638e+00
1.162174105170128285e-01 1.572426101628435990e+00
1.166077738515901019e-01 1.574533242796435584e+00
1.169977924944812370e-01 1.576639771938780354e+00
1.173874669020300160e-01 1.578745688406967718e+00
1.177767975297750458e-01 1.580850991556186136e+00
1.181657848324515203e-01 1.582955680745294691e+00
1.185544292639929553e-01 1.585059755336808207e+00
1.189427312775330481e-01 1.587163214696880376e+00
1.193306913254073287e-01 1.589266058195281772e+00
1.197183098591549227e-01 1.591368285205389199e+00
1.201055873295204662e-01 1.593469895104162593e+00
1.204925241864555907e-01 1.595570887272133032e+00
1.208791208791208938e-01 1.597671261093380979e+00
1.212653778558875489e-01 1.599771015955522957e+00
