,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
581,OIB,Kahoolawe,Leeman_1994,samp.KW-18,Kahoolawe,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/SHIELDSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.56,-156.55,49.9647,1.98849,12.5972,11.2446,9.61946,12.153,0.171596,0.080751,1.99859,0.18169,0.34415999999999997,,,30.0,,277.0,641.0,57.0,441.0,,101.0,,,279.0,25.0,118.0,9.0,,,35.0,8.9,23.9,,19.4,4.87,1.81,,0.88,,,,,2.14,0.3,3.26,0.67,,,0.58,,0.70416,0.5129,18.092,15.439,37.866,0.15
585,OIB,Kahoolawe,Fodor_1992,samp.115,Kahoolawe,Post-Shield,VOLCANICROCK,BASALT_ALKALINE,HAWAIIANISLANDS/KAHOOLAWE/POST-SHIELDSTAGE/PACIFICOCEAN,1.2,0.13,K-Ar,20.5,-156.67,48.9927,2.55588,14.1926,11.296,8.89045,9.03077,0.150346,0.892052,3.02696,0.501153,0.6487200000000001,0.47,,22.6,,249.0,380.0,,312.0,,249.0,,14.0,464.0,46.0,203.0,21.6,,,250.0,26.5,47.7,,31.5,7.87,2.68,,1.24,,,,,2.57,0.33,4.69,,,,1.18,,,,,,,0.15
587,OIB,Kahoolawe,Fodor_1992,samp.125,Kahoolawe,Post-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/POST-SHIELDSTAGE/PACIFICOCEAN,1.08,0.04,K-Ar,20.5,-156.67,50.6987,1.80609,12.8992,11.2313,9.04031,10.4911,0.167779,0.339505,2.19099,0.187517,0.24208000000000002,0.96,,27.7,,234.0,575.0,,227.0,,114.0,,3.0,245.0,32.0,116.0,9.1,,,79.0,8.48,17.8,,14.3,4.41,1.35,,0.86,,,,,2.02,0.29,2.52,,,,,,,,,,,0.15
588,OIB,Kahoolawe,Fodor_1992,samp.18,Kahoolawe,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/SHIELDSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.5,-156.67,51.0876,2.24506,12.8018,10.906,9.10996,9.03013,0.159649,0.608661,2.60427,0.339254,0.48384000000000005,1.11,,26.8,,255.0,440.0,,192.0,,120.0,,5.0,374.0,28.0,161.0,13.1,,,126.0,13.4,33.6,,22.7,5.87,2.0,,0.74,,,,,1.9,0.26,3.69,,,,0.73,,,,,,,0.15
589,OIB,Kahoolawe,Fodor_1992,samp.16,Kahoolawe,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/SHIELDSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.5,-156.67,48.8228,2.52109,13.9003,11.7422,9.99608,8.24995,0.166765,0.107907,2.57995,0.3041,0.5328,1.64,,28.1,,282.0,365.0,,191.0,,118.0,,1.0,386.0,27.0,162.0,13.3,,,174.0,14.9,37.0,,23.9,6.29,2.14,,0.87,,,,,2.03,0.32,3.98,,,,0.89,,,,,,,0.15
597,OIB,Kahoolawe,Fodor_1992,samp.36,Kahoolawe,Post-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/CALDERA-FILLINGSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.5,-156.67,51.1129,2.07671,14.1494,10.3239,11.0692,7.2039,0.168919,0.24841,2.3748,0.238474,0.36448,1.04,,30.2,,257.0,239.0,,121.0,,110.0,,5.0,337.0,25.0,131.0,11.0,,,92.0,10.1,26.8,,17.8,4.7,1.68,,0.76,,,,,1.87,0.27,3.28,,,,0.54,,,,,,,0.15
598,OIB,Kahoolawe,Fodor_1992,samp.126,Kahoolawe,Post-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/POST-SHIELDSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.5,-156.67,50.9348,1.76081,12.939,11.0199,9.30854,10.3274,0.168167,0.326442,2.20596,0.207736,0.2992,0.81,,28.8,,234.0,608.0,,285.0,,115.0,,7.0,245.0,29.0,106.0,9.0,,,66.0,13.94,22.0,,20.6,5.48,1.99,,0.91,,,,,2.01,0.27,2.44,,,,,,,,,,,0.15
599,OIB,Kahoolawe,Fodor_1992,samp.159,Kahoolawe,Post-Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/POST-SHIELDSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.5,-156.67,51.2346,2.52924,13.8558,11.5265,9.64711,7.01789,0.169949,0.479856,2.43927,0.269919,0.42432,0.83,,26.9,,281.0,202.0,,159.0,,136.0,,8.0,355.0,30.0,170.0,13.4,,,586.0,13.5,31.2,,22.1,5.91,2.1,,0.95,,,,,2.38,0.31,3.86,,,,0.83,,,,,,,0.15
600,OIB,Kahoolawe,Fodor_1992,samp.32,Kahoolawe,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/KAHOOLAWE/SHIELDSTAGE/PACIFICOCEAN,1.03,0.18,Stratigraphic,20.5,-156.67,49.5028,2.27725,14.9463,11.8536,10.1531,7.23946,0.318218,0.0894988,2.12808,0.218775,0.3312,1.28,,29.7,,256.0,325.0,,111.0,,128.0,,3.0,266.0,35.0,144.0,10.7,,,42.0,11.6,23.0,,19.5,5.28,1.91,,0.99,,,,,2.31,0.31,3.13,,,,0.36,,,,,,,0.15
3362,OIB,Lanai,Gaffney_2005,samp.96L-1,Lanai,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/LANAI/SHIELDSTAGE/PACIFICOCEAN,0.81,0.66,Stratigraphic,20.83,-156.92,53.4829,2.06427,14.1401,10.7763,8.97686,7.48413,0.147229,0.357848,2.36179,0.208574,0.299808,,,31.7,,,,,,,,,5.6,358.0,19.65,,6.68,,0.08,64.0,8.86,20.82,2.92,14.31,4.29,1.52,4.42,0.72,4.23,0.78,1.95,0.27,1.59,0.23,2.93,0.47,,0.75,0.57,0.16,0.704129,0.512808,17.926,15.437,37.752,0.15
