Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,Fe2O3,Cr2O3,NiO,CoO,CO2,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,P_err,T,T_err,Fit_Tp
OIB,Hawaii,Rhodes_1996,samp.R311-0.70,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,49.66072246,2.266882508,12.48788535,9.090423234,10.22104245,10.17083979,0.180548348,0.270822027,2.186637477,0.210639245,0.623819957,0,0,0,0,254,549,0,194,0,106,20,4.3,295,24.3,142,10.7,0,0,84,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,2.525838123,0.0794547,0.024444335,0,0,11.4756,100,48.82361828,11.34506666,9.328891624,2.294688099,13.61355484,9.285672048,1.986529125,0.24603797,2.059430596,0.164025613,0.072183468,0.191362765,0.022207332,0,0.56673158,0,0.087591241,1.37366565,0.24,1368.574497,39,TRUE
OIB,Hawaii,Rhodes_1996,samp.R315-3.35,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.67574641,2.371336888,10.37204302,9.237777573,8.518864861,15.22431214,0.179344368,0.428433822,1.97278509,0.249089454,1.005100219,0,0,0,0,218,842,0,615,0,112,18,7.2,308,24.1,161,13.7,0,0,125,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2,2.566781564,0.121269007,0.077115575,0,0,11.7184,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R319-1.30,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.99752723,2.128037528,10.14829852,9.371682411,8.612522346,16.66291673,0.180681873,0.28106102,1.806818727,0.200758295,0.770119457,0,0,0,0,213,1017,0,707,0,113,15,4.1,273,21.2,136,11.5,0,0,91,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.603987967,0.146761783,0.088826121,0,0,11.8649,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R322-3.50,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.16949238,2.119863258,10.13719906,9.365523129,8.640202362,16.6374074,0.180841514,0.281309351,1.838556874,0.210981271,0.593535992,0,0,0,0,205,976,0,649,0,107,17,5.1,247,19.5,125,9.8,0,0,98,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.602276567,0.141115319,0.081695531,0,0,11.8344,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R331-1.90,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.22484783,1.697523834,8.618197164,9.132073594,7.242094567,21.73633121,0.170757134,0.150668059,1.466500465,0.170757134,0.563688712,0,0,0,0,187,1122,0,1009,0,112,14,1.4,218,17.5,108,9.5,0,0,61,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.537410969,0.162175735,0.126973602,0,0,11.5429,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R333-2.10,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.07788046,2.096586129,10.51301214,9.156391192,8.727416276,16.65230379,0.170535879,0.190599098,1.715385957,0.200630214,0.740923444,0,0,0,0,213,886,0,686,0,111,16,2.1,277,21.5,140,12.1,0,0,99,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,2.544167785,0.127930568,0.086237068,0,0,11.5857,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R340-5.15,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.70475535,2.197452946,10.74755624,9.023552259,8.949643789,15.36219162,0.169803721,0.289664881,1.877828457,0.229733807,0.74106086,0,0,0,0,222,839,0,623,0,110,17,4.5,293,21.6,144,13.4,0,0,110,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.507257552,0.121166652,0.078331862,0,0,11.4155,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R347-6.35,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,45.91942106,1.558129739,8.031889055,9.132030933,6.895962086,23.03011392,0.170891362,0.211100396,1.497812232,0.150785856,0.533958254,0,0,0,0,178,1337,0,1091,0,108,13,3.1,206,15.6,101,8.6,0,0,83,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.537399116,0.193229525,0.137276465,0,0,11.5442,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R362-0.55,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.43509903,1.759661469,8.436345718,9.127325619,7.430822054,21.20644286,0.170938627,0.241325877,1.608835885,0.170938627,0.563556753,0,0,0,0,183,1331,0,956,0,104,14,3.6,231,17.8,113,9.2,0,0,86,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.2,2.536091711,0.192339903,0.120275864,0,0,11.5396,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R365-0.05,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,46.17373247,1.659776898,8.018900718,9.068765842,7.099028764,22.40689436,0.169977176,0.209971051,1.469801304,0.159978461,0.710668819,0,0,0,0,176,1371,0,1074,0,108,13,3.6,217,16.6,109,9.3,0,0,74,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,2.519820465,0.197788371,0.134895306,0,0,11.4848,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
OIB,Hawaii,Rhodes_1996,samp.R371-0.30,Mauna_Kea,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/HAWAII/MAUNAKEA/SHIELDSTAGE/PACIFICOCEAN,0.324,0.123,Stratigraphic,19.74,-155.05,47.40942058,1.954098857,9.660263019,9.089037693,8.117025263,17.82742124,0.170357235,0.330693805,1.733636321,0.200420218,0.74073516,0,0,0,0,202,983,0,792,0,108,16,5.5,262,19.8,128,12.2,0,0,94,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2,2.525453141,0.141900442,0.099537028,0,0,11.5034,100,,,,,,,,,,,,,,,,,,,0.24,,39,FALSE
