Area,Province,Author,Sample,Unique_Id,Flow,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
OIB,Oahu,Frey_1994,samp.KOO-23A,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,53.3103,2.24591,13.9868,9.7525,9.07388,7.49974,0.150396,0.521372,3.13826,0.320844,0,,,23.1,,233,262,42.9,211,,108,19.4,6.5,447,22.7,169,10.1,,,109,11.7,31.8,,21,5.65,1.89,,0.89,,,,,1.68,0.25,3.72,0.59,,,0.63,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-23,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.3156,-157.657,53.303,2.21338,13.7553,9.94889,9.11629,7.52953,0.161708,0.505337,3.12298,0.343629,0,,,23.1,,234,260,42.4,200,,112,20,6.1,458,22.8,166,9.7,,,118,12,31.6,,21.1,5.73,1.91,,0.88,,,,,1.69,0.24,3.76,0.56,,,0.57,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-24,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,53.0686,1.8345,13.1861,10.5151,8.89883,8.92923,0.192571,0.385143,2.75681,0.233113,0,,,25.2,,202,369,46.5,166,,98,19.8,4,360,20.1,112,6.9,,,85,9.08,23.3,,16.3,4.4,1.52,,0.7,,,,,1.69,0.24,2.74,0.44,,,0.34,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-25,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,51.9074,2.25817,14.187,10.4328,9.34658,7.88839,0.182273,0.313915,3.15941,0.324042,0,,,23.9,,224,282,43.7,190,,103,21.6,1.8,473,23.8,165,10,,,106,12,32.2,,21.2,5.66,1.92,,0.83,,,,,1.73,0.24,3.91,0.6,,,0.6,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-26,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,53.1702,1.84055,14.2514,10.4918,9.73742,7.27993,0.185083,0.185083,2.61173,0.246777,0,,,26.1,,232,308,43.2,81,,118,19.9,1.87,353.6,22.6,116,7.4,,0.024,66.7,8.75,23.4,,15.5,4.26,1.6,,0.68,,,,,1.74,0.24,3.02,0.42,,,0.32,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-27,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,50.7048,2.29838,14.6032,11.0358,10.2172,7.75827,0.180658,0.170622,2.70987,0.32117,0,,,27.3,,252,348,45.8,162,,118,21,1.1,436,26.3,154,9.1,,,70,11.2,30.5,,21.1,5.89,1.92,,0.83,,,,,2.01,0.29,3.46,0.58,,,0.54,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-30,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.65,50.1449,1.94668,12.6687,11.0233,8.54095,12.6687,0.183457,0.234417,2.3136,0.275186,0,,,24,,232,680,57.9,433,,117,18.9,2.95,453.6,20.9,153,10.9,,0.035,76,16.4,42,,23.2,5.18,1.76,,0.72,,,,,1.5,0.24,3.6,0.61,,,0.62,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-32,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,53.4122,1.79052,13.3429,10.049,8.63902,9.31679,0.161855,0.343942,2.69084,0.252899,0,,,,,193,502,,207,,98,20.2,5,372,18.6,120,7.8,,,81,,23,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KM1,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/MAKAPUUSTAGE/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.27,-157.7,51.5434,1.5659,11.7291,10.7538,7.62745,13.7092,0.171744,0.303077,2.38421,0.212154,0,,,,,186,846,,519,,122,17.1,3.2,322,17.8,104,5.6,,,72,,20.4,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KM2,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/MAKAPUUSTAGE/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.27,-157.7,51.9372,2.20794,14.6251,10.69,9.66226,7.4847,0.16205,0.354485,2.59281,0.283588,0,,,,,265,295,,135,,121,21.4,3.8,410,25.9,162,10.1,,,75,,29.5,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KM3,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/MAKAPUUSTAGE/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.27,-157.7,51.5866,1.47304,12.5915,10.1042,8.11181,12.7529,0.15134,0.312769,2.72411,0.191697,0,,,,,200,735,,499,,121,17.7,3.1,307,20.5,100,6.2,,,62,,17.3,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KM6,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/MAKAPUUSTAGE/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.27,-157.7,52.7685,2.19575,14.0709,10.1053,9.47798,7.41317,0.161156,0.574118,2.92095,0.312239,0,,,,,243,245,,172,,110,20,6.7,449,22.7,163,11,,,107,,33.7,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KM10,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/MAKAPUUSTAGE/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.27,-157.7,52.3986,1.93656,14.4279,10.7561,9.43945,7.78679,0.172364,0.152086,2.68685,0.243337,0,,,,,238,405,,174,,114,20.4,1.1,358,23.4,131,7.5,,,71,,24.2,,,,,,,,,,,,,,,,,,,,,,,
OIB,Oahu,Frey_1994,samp.KOO-54,Hawaii,,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,3.4,1.2,Stratigraphic,21.34,-157.85,51.3671,2.16888,15.6361,10.6927,9.97684,7.00094,0.161405,0.110966,2.63292,0.252195,0,,,26.6,,249,266,39,99,,107,20.1,0.1,419,52.3,151,9.6,,,56,19.2,32.6,,33.8,8.92,3.01,,1.53,,,,,3.18,0.5,3.37,0.57,,,0.52,,,,,,
