,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe,src_Fo
3435,OIB,Hawaii,Lipman_2006,samp.K209-5A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.3774,2.30452,13.4548,12.3579,10.9087,7.62806,0.161014,0.322029,2.27433,0.211331,0.63,,,29.6,,352.0,332.0,,102.0,,,18.6,7.9,296.0,27.4,125.0,12.1,,,76.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3436,OIB,Hawaii,Lipman_2006,samp.K209-5B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.2917,2.14243,12.7741,12.5327,10.1992,9.27379,0.160933,0.291692,2.14243,0.191108,0.63,,3.75,29.9,,333.0,435.0,,170.0,,,18.2,7.3,281.0,24.3,116.0,12.2,,0.02,72.0,5.2,21.0,2.07,10.2,3.05,1.14,3.47,0.59,3.47,0.67,1.66,0.24,1.49,0.21,2.37,0.39,,0.42,0.36,0.1,,,,,,0.2,0.89
3437,OIB,Hawaii,Lipman_2006,samp.K209-6A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.4594,2.11005,13.3266,12.4685,10.5906,8.19788,0.161535,0.252398,2.24129,0.191822,0.48,,,31.4,,348.0,319.0,,120.0,,,18.3,6.3,243.0,29.2,118.0,10.3,,,71.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3438,OIB,Hawaii,Lipman_2006,samp.K209-6B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.7493,1.96118,12.7426,12.2498,10.0573,9.57458,0.160917,0.26149,2.07181,0.170975,0.63,,,26.8,,323.0,531.0,,222.0,,,16.9,7.1,257.0,24.3,108.0,10.2,,,71.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3439,OIB,Hawaii,Lipman_2006,samp.K209-8A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,48.7793,1.69798,10.4793,11.9461,8.45976,16.5176,0.150708,0.221039,1.59751,0.150708,0.45,,2.79,23.4,,282.0,862.0,,734.0,,,15.1,6.3,226.0,21.0,94.0,10.3,,0.05,70.0,8.6,15.0,3.26,15.6,4.27,1.55,4.75,0.8,4.56,0.87,2.12,0.3,1.89,0.27,3.1,0.62,,0.7,0.59,0.2,,,,,,0.2,0.89
3440,OIB,Hawaii,Lipman_2006,samp.K209-8B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.0547,1.93895,12.4888,12.4988,9.99304,10.3808,0.159093,0.248583,2.06821,0.169036,0.51,,,29.5,,313.0,608.0,,250.0,,,17.6,6.0,248.0,25.1,104.0,9.7,,,66.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3441,OIB,Hawaii,Lipman_2006,samp.K209-9A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.9221,2.17326,13.4084,12.4414,10.7866,7.29738,0.159506,0.408733,2.21314,0.189413,0.87,,,29.4,,345.0,359.0,,106.0,,,5.3,8.0,277.0,25.7,118.0,12.8,,,73.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3442,OIB,Hawaii,Lipman_2006,samp.K209-9B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,51.5173,2.0869,13.4792,12.0073,10.6563,7.43018,0.151225,0.322613,2.16756,0.18147,0.78,,,29.5,,328.0,351.0,,107.0,,,18.3,8.2,275.0,24.2,113.0,12.0,,,72.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3443,OIB,Hawaii,Lipman_2006,samp.K209-10A,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.8867,1.73317,14.3289,11.1346,11.4369,7.87989,0.151149,0.221685,2.07578,0.151149,0.54,,,30.7,,283.0,279.0,,102.0,,,17.7,7.2,246.0,22.8,91.0,10.5,,,69.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
3444,OIB,Hawaii,Lipman_2006,samp.K209-10B,Kilauea,Pre-Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/HAWAII/KILAUEA/DIVEK209/PACIFICOCEAN,0.2,0.07,Stratigraphic,19.08,-155.19,50.6993,1.94185,12.0938,11.3593,9.66898,11.7718,0.150921,0.241473,1.9016,0.171043,0.75,,,26.5,,311.0,668.0,,439.0,,,17.7,5.9,253.0,24.0,105.0,10.8,,,73.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.89
