Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1,EPRR26,REYNOLDS/1992,WASVNTR-008-B,,,,,DCP,,,GL,12.117,-103.848,50.38,1.39,14.71,9.82,12.22,8.22,0.2,0.07,2.51,0.16,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/1992,WASVNTR-R145,,,,,DCP,,,GL,12.098,-103.873,50.94,1.68,13.86,11.02,11.76,7.32,0.2,0.12,2.54,0.19,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,REYNOLDS/1992,WASVNTR-R065,,,,,DCP,,,GL,12.113,-103.805,50.64,1.45,14.35,10.23,12.13,7.82,0.18,0.08,2.61,0.19,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-001-005,,,,,DCP,,,GL,12.623,-103.923,,,,,,,,,,,,,,41.9,,333,249,,83,71,75,,,121,36.2,112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-001-006,,,,,DCP,,,GL,12.623,-103.923,,,,,,,,,,,,,,41.9,,333,249,,83,71,75,,,121,36.2,112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-001-010,,,,,DCP,,,GL,12.623,-103.923,,,,,,,,,,,,,,41.9,,333,249,,83,71,75,,,121,36.2,112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-002-004,,,,,DCP,,,GL,12.593,-103.918,,,,,,,,,,,,,,38.6,,296,274,,97,71,62,,,203,34.7,159.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-002-007,,,,,DCP,,,GL,12.593,-103.918,,,,,,,,,,,,,,37.6,,248,321,,115,73,69,,,191,29.6,125.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-007-003,,,,,DCP,,,GL,12.192,-103.885,,,,,,,,,,,,,,40.7,,288,313,,89,72,75,,,156,30.9,108.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EPRR26,Galeetal./thisstudy2,WASVNTR-010-006,,,,,DCP,,,GL,12.17,-103.85,,,,,,,,,,,,,,42.9,,320,215,,77,76,87,,,104,33.4,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
