,Area,Province,Author,Sample,Volcano,Stage,Rock Type,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longditude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,src_FeIII_totFe
1185,OIB,Oahu,Jackson_1999,samp.5313,Koolau,Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.9,53.3252,1.99337,13.6399,10.3793,9.43056,7.85206,0.151779,0.465457,2.50942,0.252966,0.4896,,,,,233.0,377.0,,130.0,,104.0,19.4,6.4,404.0,21.0,151.0,9.7,,,106.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
1186,OIB,Oahu,Jackson_1999,samp.4886,Koolau,Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.9,53.27,1.91257,14.5456,9.84767,9.91515,7.07649,0.150992,0.44291,2.587,0.251653,0.36,,,,,236.0,236.0,,103.0,,99.0,19.5,5.4,410.0,21.2,137.0,7.6,,,92.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
1187,OIB,Oahu,Jackson_1999,samp.2668,Koolau,Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.9,52.5488,1.89192,13.4761,10.5031,9.61136,8.82221,0.161875,0.485626,2.25614,0.242813,0.36,,,,,247.0,426.0,,210.0,,108.0,18.8,5.9,374.0,19.8,136.0,8.1,,,88.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
1188,OIB,Oahu,Jackson_1999,samp.1929,Koolau,Shield,VOLCANICROCK,BASALT,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.25,0.45,Stratigraphic,21.34,-157.9,53.2201,2.03222,14.3966,9.83775,9.5776,7.34417,0.150908,0.362178,2.80688,0.271634,0.4032,,,,,232.0,275.0,,108.0,,100.0,20.4,4.5,430.0,21.0,149.0,9.0,,,110.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2590,OIB,Oahu,Haskins_2004,samp.50,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,52.2621,1.76838,13.6675,10.3023,8.80193,8.87186,0.159853,0.11989,2.55765,0.219798,0.2736,1.27,,,,204.0,551.0,,239.0,,111.0,,0.8,317.0,21.4,109.0,6.6,,,111.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2605,OIB,Oahu,Haskins_2004,samp.1,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,49.7702,1.60386,11.4187,10.6376,8.27149,15.5544,0.171482,0.272354,1.95691,0.181569,0.2736,0.16,,,,193.0,746.0,,596.0,,104.0,,3.0,267.0,17.7,101.0,7.0,,,64.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2606,OIB,Oahu,Haskins_2004,samp.2,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,48.924,1.38215,10.0307,11.2477,7.34775,18.9232,0.172769,0.152443,1.67687,0.162606,0.2736,-0.02,,,,175.0,797.0,,769.0,,109.0,,1.7,235.0,15.3,86.0,6.0,,,66.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2607,OIB,Oahu,Haskins_2004,samp.3,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,49.8157,1.55706,11.0713,10.7625,8.03805,16.1267,0.171883,0.26288,1.85027,0.181994,0.288,0.16,,,,183.0,717.0,,594.0,,105.0,,3.4,256.0,17.2,96.0,6.6,,,61.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2608,OIB,Oahu,Haskins_2004,samp.4,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,52.4005,1.87217,13.4391,10.1257,9.40133,9.63409,0.161917,0.232756,2.35792,0.212517,0.36,0.16,,,,205.0,608.0,,234.0,,104.0,,2.5,324.0,20.2,121.0,7.5,,,72.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
2609,OIB,Oahu,Haskins_2004,samp.5,Koolau,Shield,VOLCANICROCK,THOLEIITE,HAWAIIANISLANDS/OAHU/KOOLAU/SHIELDSTAGE/KOOLAUSERIES/PACIFICOCEAN,2.85,0.05,Stratigraphic,21.34,-157.85,50.9574,1.5785,11.5049,10.4704,7.99371,14.7226,0.161898,0.22261,1.93266,0.192254,0.2448,0.26,,,,175.0,801.0,,576.0,,105.0,,2.4,272.0,17.4,102.0,6.2,,,72.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,0.15
