Unnamed: 0,Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb,Cr2O3,CO2,Fe2O3,src_FeIII_totFe,NiO,CoO,FeO_tot,Total,SiO2_primary_wt,Al2O3_primary_wt,FeO_primary_wt,Fe2O3_primary_wt,MgO_primary_wt,CaO_primary_wt,Na2O_primary_wt,K2O_primary_wt,TiO2_primary_wt,MnO_primary_wt,Cr2O3_primary_wt,P2O5_primary_wt,NiO_primary_wt,CoO_primary_wt,H2O_primary_wt,CO2_primary_wt,ol_added,P,T,P_err,T_err
50,1,CHIL23,KARSTEN/1996+ADs-STURM/1999,KNO0138-11-063-005,0.0,0.0,0.0,0.0,DCP+ADs-ICP-MS,0.0,0.0,GL,-43.873,-82.427,48.81206227398771,0.9951388313683658,16.565543374697643,8.264276177755713,10.755540904688395,9.298014333492304,0.17088242558850725,0.45233583244016623,2.81453406851659,0.17,0.3313108674939529,0.0,0.0,35.0,0.0,207.0,307.0,0.0,164.0,75.0,0.0,0.0,11.36,150.0,25.3,93.0,10.2,0.0,0.143,0.0,8.41,16.48,2.06,8.71,2.35,0.87,3.13,0.62,3.93,0.9,2.52,0.0,2.71,0.43,1.93,0.6,0.0,1.05,1.132,0.245,0.703552,0.5129,17.953,15.524,38.314,0.04510403426160576,0.0,1.495256875709048,0.14,0.020869,0.0,9.56,100.00000000000001,47.75185330532931,14.555222026677301,8.582140716404766,1.3137990901103307,13.953313159120134,9.450295854699437,2.4729746161830306,0.39744234902941683,0.8743731678647143,0.15014488741111315,0.039630407414179565,0.14936954910362538,0.0183364301190798,0.0,0.2911044405335458,0.0,0.11308203991130826,1.7590043402389401,1387.671730786361,0.24,39.0
51,1,CHIL25,KARSTEN/1996+ADs-STURM/1999,KNO0138-11-053-002,0.0,0.0,0.0,0.0,DCP+ADs-ICP-MS,0.0,0.0,GL,-44.539,-78.315,50.92458011167641,1.1712553318392256,15.436544629881075,7.490027686171867,11.972832281023196,8.789420353460171,0.1601716693113471,0.09009656398763274,2.3925643103382472,0.13,0.16597789232388338,0.0,0.0,35.9,0.0,255.0,351.0,0.0,133.0,71.0,0.0,0.0,1.35,103.0,29.5,91.0,1.75,0.0,0.0,0.0,2.66,8.29,1.49,8.0,2.74,0.94,3.81,0.74,4.61,1.02,2.84,0.0,2.83,0.44,2.04,0.12,0.0,0.35,0.175,0.049,0.702487,0.513146,18.307,15.541,38.032,0.051357203790486375,0.0,1.355171966196441,0.14,0.016924250000000002,0.0,8.7,99.99999999999999,49.91866447759636,14.003307531098026,7.786461066864139,1.2293482936224782,12.410627942105826,10.861190536441795,2.170421854690291,0.08173136691302346,1.062507769869305,0.1453002078453747,0.046588840693229314,0.1179298879827596,0.015352883897632438,0.0,0.15056734037977,0.0,0.08759124087591247,1.1634019382418597,1339.8643968620927,0.24,39.0
53,1,CHIL26,KARSTEN/1996+ADs-STURM/1999,KNO0138-11-034-001,0.0,0.0,0.0,0.0,DCP+ADs-ICP-MS,0.0,0.0,GL,-45.781,-76.78,50.82715583288473,1.4107537347316432,14.817916887500452,8.088321412461422,11.466126099308251,8.72466139493612,0.17009087581870877,0.05002672818197317,2.791491432554103,0.12,0.14367676333862692,0.0,0.0,36.9,0.0,282.0,317.0,0.0,136.0,66.0,0.0,0.0,1.11,88.0,32.5,89.0,1.2,0.0,0.014,0.0,1.89,7.18,1.45,8.57,3.15,1.12,4.44,0.85,5.3,1.16,3.18,0.0,3.12,0.49,2.28,0.08,0.0,0.32,0.117,0.0,0.702674,0.513162,17.93,15.49,37.689,0.04635748778742943,0.0,1.4634213504965414,0.14,0.017306000000000002,0.0,9.4,100.0,49.4543098656583,12.897058916719843,8.475156510974498,1.273716914505061,13.785999080031514,9.97976334811673,2.429628249672403,0.04354172490452329,1.2278766423075567,0.14804186467537886,0.040348130966366,0.10444430764164186,0.015062609900385389,0.0,0.12505183392579117,0.0,0.12087912087912095,1.4157561109900183,1382.5690516837094,0.24,39.0
54,1,CHIL27,KARSTEN/1996+ADs-STURM/1999,KNO0138-11-014-009,0.0,0.0,0.0,0.0,DCP+ADs-ICP-MS,0.0,0.0,GL,-45.953,-75.934,50.81996389100204,1.2709994907753561,14.761608259005122,7.616989861646642,12.429774547582618,8.576744595232128,0.17013379010378787,0.07005509004273618,2.6921170316422898,0.12,0.15832450349658375,0.0,0.0,38.5,0.0,267.0,377.0,0.0,95.0,78.0,0.0,0.0,1.02,123.0,29.0,87.0,1.76,0.0,0.015,0.0,2.52,7.91,1.46,8.02,2.81,1.04,3.85,0.74,4.59,1.0,2.71,0.0,2.71,0.42,1.99,0.12,0.0,0.33,0.132,0.033,0.702668,0.513149,18.165,15.519,37.912,0.055145685559480885,0.0,1.3781432539112217,0.14,0.01208875,0.0,8.85,100.0,49.686798991630525,13.187080808396171,7.963798512702414,1.2311454237235087,12.763541469289159,11.103969060357993,2.404965923700726,0.06258275637882942,1.1354300085873303,0.151986694062871,0.04926364383526137,0.10720035847328409,0.010799319445782609,0.0,0.14143702941615463,0.0,0.10031488978857406,1.2687384710152032,1360.2539588096934,0.24,39.0
56,1,CHIL3,BACH/1996,SON0040-056-G,0.0,0.0,0.0,0.0,XRF+ADs-ICP-MS+ADs-MS-ID,0.0,0.0,GL,-36.839,-97.061,49.529645801093075,1.2502434824589326,16.473208124878894,7.466254038287551,11.78229457869298,9.101772552301028,0.16003116575474338,0.040007791438685845,2.6205103392339226,0.12,0.17063323048599507,0.0,0.0,0.0,0.0,0.0,373.0,46.0,153.0,63.0,72.0,0.0,0.29,130.0,25.6,81.0,0.73,0.0,0.0,0.0,2.43,8.53,1.4,7.8,2.7,0.94,3.5,0.64,4.3,0.95,2.7,0.0,2.6,0.37,2.2,0.05,0.0,0.42,0.053,0.027,0.702487,0.51315,18.425,15.535,37.948,0.054528299279025354,0.0,1.3508705960951621,0.14,0.01946925,0.005848900000000001,8.68,99.99999999999999,48.75633815908514,15.131884177214497,7.7155525388897015,1.24087653379702,12.252778582224117,10.822926266398687,2.40713640220412,0.036750174079452226,1.1484429399828828,0.1470006963178089,0.050088355760196865,0.11022905116601799,0.017883974620116594,0.005372655811374347,0.15673949244886384,0.0,0.0770650669127827,1.3499595187370004,1343.4730321096217,0.24,39.0
59,1,CHIL3,BACH/1996,SON0040-R049-G,0.0,0.0,0.0,0.0,XRF+ADs-ICP-MS,0.0,0.0,GL,-36.887,-97.06,49.766951622364616,1.0803679950181668,16.085479036937148,7.51896110903199,12.294187647012285,9.143114328209299,0.16005451778046914,0.03001022208383796,2.4108211740683165,0.08,0.09803339214053736,0.0,0.0,0.0,0.0,0.0,353.0,37.0,133.0,66.0,72.0,0.0,0.26,74.0,24.4,54.0,0.54,0.0,0.0,0.0,1.3,4.9,1.04,6.2,2.4,0.97,3.4,0.65,4.3,0.95,2.7,0.0,2.5,0.35,1.65,0.03,0.0,0.26,0.039,0.021,0.0,0.0,0.0,0.0,0.0,0.05161206010333787,0.0,1.360406895249979,0.14,0.016924250000000002,0.00470455,8.74,99.99999999999997,48.97330441655564,14.745274561551348,7.775718715400819,1.2470609759165827,12.383897515060585,11.26986469909616,2.209957194859379,0.027509840599909272,0.9903542615967342,0.14671914986618242,0.04731186402117346,0.07333458718980865,0.015514161090589024,0.004312577902047683,0.08986547929303682,0.0,0.0791896869244936,1.2907092159222862,1347.4127074848293,0.24,39.0
60,1,CHIL7,BACH/1996,SON0040-031-002G,0.0,0.0,0.0,0.0,XRF+ADs-ICP-MS,0.0,0.0,GL,-38.098,-93.917,50.287127739865966,1.3004429294176598,15.195175459887885,8.172783641032524,11.794017029103236,9.013069841579318,0.17005792153923244,0.05001703574683306,2.3307938658024208,0.12,0.15605315153011917,0.0,0.0,0.0,0.0,0.0,354.0,44.0,148.0,58.0,82.0,0.0,0.61,85.0,28.3,73.0,1.0,0.0,0.0,0.0,2.12,7.8,1.36,8.2,2.93,1.1,4.0,0.75,4.9,1.1,3.1,0.0,3.1,0.44,2.15,0.06,0.0,0.36,0.063,0.03,0.0,0.0,0.0,0.0,0.0,0.05175826880888041,0.0,1.478703115685921,0.14,0.018833,0.005594600000000001,9.5,100.0,49.01635446950878,13.277463221938767,8.52887994092129,1.292082890817169,13.906630108658833,10.305549136712157,2.0366352407582218,0.043704618900390915,1.1363200914101637,0.1485957042613293,0.04522609905724638,0.10485535957374241,0.016456174890435764,0.004888531622260499,0.1363584109692201,0.0,0.1177767975297751,1.4099712777905749,1380.0277092211036,0.24,39.0
61,1,CHIL9,BACH/1996,SON0040-R008-GL,0.0,0.0,0.0,0.0,XRF+ADs-ICP-MS+ADs-MS-ID,0.0,0.0,GL,-38.712,-92.569,50.3326523255773,1.1707595073742632,15.810256595310562,7.538490448508332,12.107854734383405,8.795706042581001,0.1601038642563095,0.06003894909611606,2.4716034044567783,0.1,0.13608828461786307,0.0,0.0,0.0,0.0,0.0,359.0,44.0,110.0,65.0,71.0,0.0,0.47,97.0,25.5,65.0,1.3,0.0,0.0,0.0,2.02,6.8,1.14,7.02,2.6,1.03,3.6,0.68,4.5,1.0,2.8,0.0,2.7,0.4,1.85,0.08,0.0,0.34,0.08,0.035,0.702438,0.513179,18.428,15.527,37.85,0.0525055019193318,0.0,1.3639403419187457,0.14,0.0139975,0.005594600000000001,8.76,100.0,49.367627703891884,14.303273345118187,7.843526574588826,1.2339338972325222,12.524711269235627,10.953772625058848,2.236018048255812,0.05431622789285384,1.0591664439106494,0.14484327438094358,0.04750084488177007,0.09046831883399431,0.012663302928788336,0.005061340565486637,0.12311678322380196,0.0,0.0900818926296634,1.2594112730646416,1347.7061792294435,0.24,39.0
67,1,CIRR1,Galeetal./thisstudy,HAK9303-R005-PET2,0.0,0.0,0.0,0.0,ICP-MS,0.0,0.0,GL,-25.29,69.917,49.83735420400234,0.9827083927549756,17.057009959961363,6.933509092719389,12.063246902900362,8.934624264741666,0.0,0.11030400326841563,2.607185531798915,0.11,0.16505489943619284,0.0,5.7,33.7,0.0,223.0,372.0,40.1,137.0,67.0,61.7,15.6,1.3,128.0,25.9,73.4,1.87,0.0,0.015,0.54,2.66,8.23,1.38,7.6,2.49,0.98,3.39,0.65,4.28,0.93,2.74,0.0,2.58,0.39,1.85,0.13,0.0,0.48,0.134,0.035,0.0,0.0,0.0,0.0,0.0,0.05452178472535206,0.0,1.2544809636910377,0.14,0.017433249999999997,0.005098715000000001,8.04,100.00000000000001,49.2757126773699,16.098899871372787,7.118317399419944,1.184015455956914,11.112728609473123,11.385641707972637,2.4607371937430487,0.10410811204297525,0.9275086345646881,0.0,0.05145923905551696,0.10382118495608927,0.016454006114870412,0.004812314845939888,0.15578359311157924,0.0,0.05347846663511599,1.1812805009515677,1312.2327052473938,0.24,39.0
72,1,CIRR12,MURTON/2005,DAR0127-R014,0.0,0.0,0.0,0.0,LA-ICP-MS,0.0,0.0,GL,-20.28,67.66,49.63184550760513,0.8911103994708203,15.779662804112505,8.025200082964629,12.305333493816157,9.231503239461757,0.1601996223767767,0.05006238199274271,2.382969382854553,0.08,0.09011228758693689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,76.0,16.1,41.5,0.6,0.0,0.0,0.0,1.5,4.5,0.8,4.9,1.9,0.8,2.7,0.41,2.9,0.61,1.8,0.0,1.8,0.27,1.05,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4520007977579943,0.14,0.0,0.0,9.32,99.99999999999999,48.61331784492279,14.040573660811726,8.34011209609836,1.2919746391009863,13.513175027259777,10.949152937270075,2.1203404386251234,0.044544967198006775,0.7929004161245211,0.1425438950336218,0.0,0.07118313659859685,0.0,0.0,0.08018094095641216,0.0,0.10394265232974917,1.4506278602410072,1377.4909815633082,0.24,39.0
