,Area,Province,Author,Sample,Unique_Id,Flow,RockType,Rock_Name,Sample_Comment,Age,Uncertainty,Material,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
1267,1,MARR171,Sunetal./2008,1322/14,,,,,LA-ICP-MS,,,GL,-1.18,-13.15,49.69,1.26,16.31,9.68,11.34,7.72,,0.11,2.59,0.06,,,5.5,35.9,1.278176962,258.0,,,,,,17.2,1.76831,131.0,24.1,66.2,2.94651,,,,2.68222,8.76658,,7.52285,2.58116,1.07006,3.37286,,4.11691,,2.61452,,2.54763,0.37,1.7855,,,0.396392,0.158,0.057,,,,,
1268,1,MARR171,Sunetal./2008,1322-30,,,,,LA-ICP-MS,,,GL,-1.18,-13.15,49.42,1.22,16.65,10.06,11.18,8.04,,0.1,2.7,0.08,,,5.4,37.0,1.233894825,247.0,,,,,,17.0,1.70081,128.0,24.4,63.8,2.94518,,,,2.58462,8.24993,,7.29412,2.50918,1.03676,3.33062,,4.13584,,2.64148,,2.58992,0.4,1.74296,0.167487,,0.375677,0.147,0.054,,,,,
1269,1,MARR171,Sunetal./2008,1322/34,,,,,LA-ICP-MS,,,GL,-1.18,-13.15,49.07,1.29,16.15,9.63,11.38,7.84,,0.09,2.65,0.07,,,5.7,37.9,1.300522538,264.0,,,,,,17.5,1.74032,133.0,25.8,70.8,3.16921,,,,2.84648,8.98769,,8.02017,2.72392,1.11718,3.59262,,4.47525,,2.77757,,2.71434,0.41,1.92349,,,0.408086,0.162,0.055,,,,,
1270,1,MARR171,Sunetal./2008,1322/29,,,,,LA-ICP-MS,,,GL,-1.18,-13.15,51.11,1.45,15.88,9.45,11.03,7.87,,0.09,2.77,0.12,,,6.4,35.1,1.436954925,283.0,,,,,,17.6,1.07212,127.0,27.3,79.3,2.19518,,,,2.918,9.91397,,8.98963,3.04634,1.20255,3.9992,,4.8118,,2.92376,,2.84728,0.42,2.13924,,,0.468765,0.115,0.048,,,,,
1271,1,MARR171,Sunetal./2008,1322/33,,,,,LA-ICP-MS,,,GL,-1.18,-13.15,49.99,1.39,15.72,9.29,11.17,8.08,,0.08,2.72,0.1,,,6.3,35.0,1.380971619,279.0,,,,,,17.8,0.810001,125.0,26.3,75.0,1.83023,,,,2.60272,9.2599,,8.70579,3.00039,1.19401,3.84021,,4.61782,,2.84426,,2.72331,0.39,2.05192,,,0.428786,0.095,0.038,,,,,
1272,1,MARR171,Kelley/Kingsley/andSchilling/inrevision,CON2806-006-001,,,,,ICP-MS,,,GL,-1.051,-13.112,50.97,1.49,14.38,10.44,10.91,7.8,0.18,0.16,3.08,0.14,,,6.5,39.5,1.589816361,294.0,216.0,40.8,111.0,71.0,87.9,16.8,2.28,133.0,32.9,103.5,4.855,0.899,0.04,,4.34,13.05,2.19,11.49,3.78,1.34,4.6,0.869,5.72,1.25,3.61,,3.31,0.5,2.4,0.3038,0.019,0.466,0.278,0.072,0.702472,0.513188,18.098,15.479,37.646
1273,1,MARR171,Kelley/Kingsley/andSchilling/inrevision,CON2806-005-001,,,,,ICP-MS,,,GL,-1.162,-13.068,50.35,1.58,14.7,10.56,11.26,7.74,0.17,0.2,2.78,0.15,,,6.3,30.6,1.608180301,301.0,290.0,38.4,109.0,70.0,89.8,16.1,3.54,124.0,33.7,103.4,5.675,0.653,0.052,,4.82,13.71,2.31,11.76,3.85,1.34,4.7,0.88,5.91,1.3,3.76,,3.48,0.52,2.45,0.3486,0.016,0.444,0.391,0.096,0.702498,0.513148,18.245,15.505,37.84
1274,1,MARR171,Kelley/Kingsley/andSchilling/inrevision,CON2806-004-001,,,,,ICP-MS,,,GL,-1.409,-13.007,47.69,1.77,14.79,10.52,12.08,7.68,0.16,0.87,2.78,0.14,,,4.1,43.8,1.786644407,286.0,315.0,46.9,165.0,78.0,91.7,17.6,18.591,356.0,29.3,122.4,24.87,1.053,0.235,,15.17,32.07,4.22,18.65,4.69,1.54,4.89,0.836,5.08,1.072,2.98,,2.6,0.4,2.75,,0.037,1.045,1.539,0.398,0.702885,0.513049,18.738,15.548,38.244
1275,1,MARR171,Kelley/Kingsley/andSchilling/inrevision,CON2806-004-003,,,,,ICP-MS,,,GL,-1.409,-13.007,47.52,1.77,15.0,10.39,12.09,7.62,0.18,0.86,2.83,0.24,,,4.1,34.3,1.716193656,277.0,280.0,42.3,119.0,77.0,131.3,18.3,17.87,338.0,28.7,118.5,23.85,0.787,0.225,,14.52,30.91,4.05,17.99,4.49,1.53,4.72,0.822,5.02,1.04,2.88,,2.57,0.38,2.65,1.3265,0.038,0.942,1.505,0.384,0.702923,0.513047,18.749,15.571,38.297
1276,1,MARR172,Kelley/Kingsley/andSchilling/inrevision,CON2806-003-002,,,,,ICP-MS,,,GL,-1.843,-12.955,50.21,1.47,14.95,10.1,11.17,8.11,0.16,0.29,2.75,0.15,,,5.5,35.4,1.467111853,284.0,270.0,40.0,121.0,66.0,88.5,16.9,5.68,135.0,31.4,98.4,7.73,0.703,0.078,,5.72,14.99,2.31,11.4,3.58,1.26,4.0,0.8,5.37,1.18,3.37,,3.17,0.48,2.27,0.4782,0.02,0.435,0.538,0.142,0.702591,0.513126,18.354,15.506,37.945
