seg name,seg lat,seg lon,Distance from Hotspot,Hotspot Name,mean depth,minmax depth,length (km),spread rate,n pts,nlocs,Si method,Si slope,Si8 mean,Si8 std,Fe method,Fe slope,Fe8 mean,Fe8 std,Na method,Na slope,Na8 mean,Na8 std,Ca method,Ca slope,Ca8 mean,Ca8 std,Al method,Al slope,Al8 mean,Al8 std,Ti method,Ti slope,Ti8 mean,Ti8 std,K8 mean,K8 std,P8 mean,P8 std,,Si90,Ti90,Al90,Fe90,Mg90,Ca90,Na90,K90,+ACI-Confidence (1+AD0-best, 3+AD0- worst)+ACI-,87Sr/86Sr_conc,143Nd/144Nd_conc,206Pb/204Pb_conc,207Pb/204Pb_conc,208Pb/204Pb_conc,176Hf/177Hf_conc,,Crustal_Thickness_km,Plate_Age,Ref
GAKK7,85.67,83.536,2177,Jan,-4090,337.4,124.24,9.93,24,5,1,-0.373,49.79,0.25,1,-0.949,8.65,0.55,1,-0.192,3.32,0.13,1,0.169,11.17,0.39,1,0.966,16.61,0.3,1,-0.299,1.4,0.09,0.228,0.05,0.165,0.03,,48.6,1.11,15.19,8.53,12.9,10.01,2.87,0.18,1,,0.702593,0.513142,17.986,15.433,37.591,,,,,
GAKK8,86.368,71.519,2076,Jan,-3935.7,1872.9,113.95,10.31,54,8,3,-0.5,49.83,0.22,3,-1.6,8.47,0.42,3,-0.32,3.3,0.15,3,1,10.9,0.36,3,1,16.75,0.25,3,-0.43,1.52,0.11,0.273,0.07,0.187,0.03,,48.78,1.18,15.7,7.98,12.06,10.38,2.86,0.22,1,,0.702668,0.51314,18.055,15.436,37.659,,,,,
GAKK10,86.831,52.337,1961,Jan,-4680.8,1596.6,90.9,10.75,35,9,3,-0.5,49.54,0.39,3,-1.6,8.74,0.6,3,-0.32,3.41,0.23,3,1,10.86,0.51,3,1,16.65,0.35,3,-0.43,1.56,0.19,0.273,0.08,0.201,0.03,,48.42,1.2,15.43,8.27,12.51,10.22,2.92,0.22,2,,0.702627,0.513168,18.023,15.438,37.64,,,,,
GAKK11,86.32,37.448,1848,Jan,-4356,1585.9,134.1,11.09,99,27,1,-0.338,49.99,0.3,1,-1.747,8.11,0.75,1,-0.202,3.3,0.13,1,0.881,11.23,0.56,1,1.113,16.64,0.54,1,-0.364,1.47,0.16,0.291,0.06,0.209,0.03,,49.17,1.19,15.98,7.48,11.34,10.86,2.97,0.24,1,,0.702635,0.51321,17.974,15.435,37.579,,,2.65,,Hoggard(2017)
GAKK13,85.562,17.001,1678,Jan,-4544.5,1473.5,121.67,11.67,38,8,3,-0.5,50.47,0.3,3,-1.6,6.94,0.77,3,-0.32,3.37,0.16,3,1,11.15,0.37,3,1,17.16,0.48,3,-0.43,1.12,0.12,0.413,0.13,0.184,0.02,,49.96,0.88,17.19,6.24,9.61,11.33,3.12,0.36,1,,0.702924,0.513123,18.092,15.445,37.871,,,2.2,,Hoggard(2017)
GAKK15,84.316,1.436,1493,Jan,-3856.3,757.8,52.23,12.31,32,10,3,-0.5,49.67,0.97,3,-1.6,9.92,1.07,3,-0.32,3.07,0.13,3,1,11.03,0.39,3,1,15.67,0.53,3,-0.43,1.72,0.39,0.152,0.07,0.159,0.02,,48.09,1.26,13.75,9.51,14.4,9.8,2.47,0.12,2,,0.703213,0.513073,18.08,15.436,37.823,,,3.2,,Hoggard(2017)
GAKK16,83.849,-1.853,1434,Jan,-3593,1088,73.24,12.51,40,12,1,-0.428,50.13,0.22,1,-0.598,9.54,0.24,1,-0.169,3.02,0.1,1,-0.208,10.81,0.13,1,0.529,15.78,0.29,1,-0.188,1.6,0.07,0.175,0.04,0.155,0.01,,48.44,1.27,13.54,9.66,14.61,9.03,2.48,0.13,1,,0.70309,0.513088,18.037,15.431,37.827,,,2.5,,Hoggard(2017)
GAKK17,83.4,-4.62,1381,Jan,-3586.1,1260.2,45.43,12.7,17,5,3,-0.5,50.11,0.24,3,-1.6,8.29,0.42,3,-0.32,2.95,0.1,3,1,11.78,0.33,3,1,16.39,0.17,3,-0.43,1.34,0.1,0.215,0.02,0.148,0.01,,49.1,1.03,15.51,7.78,11.77,11.28,2.56,0.17,2,,0.703223,0.513066,17.992,15.428,37.866,,,,,
GAKK18,83.071,-6.122,1343,Jan,-3976.7,671,34.67,12.82,22,4,3,-0.5,50.18,0.16,3,-1.6,8.33,0.44,3,-0.32,3.09,0.17,3,1,11.35,0.24,3,1,16.54,0.31,3,-0.43,1.36,0.09,0.242,0.06,0.15,0.01,,49.16,1.05,15.62,7.82,11.82,10.86,2.69,0.2,2,,0.703146,0.513071,18.018,15.432,37.775,,,,,
GALA3,2.215,-100.933,1023,Galapagos,-3678.8,1399.2,138.02,40.29,60,4,2,-0.461,50.28,0.36,2,-1.555,9.57,0.48,2,-0.183,2.78,0.17,2,0.632,11.67,0.22,2,1.137,15.46,0.39,2,-0.54,1.36,0.17,0.111,0.05,0.114,0.02,,48.74,0.93,13.83,9.19,13.9,10.34,2.32,0.09,1,,0.702486,0.513082,18.364,15.503,37.952,0.28317,,,,
GALA5GALA4,2.229,-99.022,819,Galapagos,-3096.1,1354.7,270.26,43.25,3,3,3,-0.5,50.72,0.13,3,-1.6,10.42,0.17,3,-0.32,2.4,0.13,3,1,12.05,0.21,3,1,14.03,0.38,3,-0.43,1.69,0.25,0.069,0.01,0,0,,48.76,1.22,12.05,10.03,15.17,10.41,1.86,0.05,3,,0.702498,0.513112,18.307,15.504,37.932,0.28321,,,,
GALA6,2.141,-97.154,620,Galapagos,-3222.5,787,145.79,46.29,69,14,3,-0.5,50.67,0.17,3,-1.6,10.18,0.31,3,-0.32,2.36,0.12,1,0.204,12.54,0.34,1,1.72,14.06,0.35,3,-0.43,1.53,0.08,0.065,0.01,0.117,0.01,,48.82,1.1,12.52,9.78,14.79,10.62,1.84,0.05,2,,0.702665,0.513113,18.445,15.505,38.153,0.2832,,5.61,2.4,Canales(2002)
GALA7,2.327,-96.051,519,Galapagos,-2865.3,603.7,93.4,47.97,7,4,3,-0.5,50.46,1.06,1,-1.216,9.91,0.29,1,-0.437,2.42,0.09,1,0.709,12.3,0.27,1,0.506,14.65,0.23,3,-0.43,1.5,0.38,0.116,0.11,0.124,0.06,,48.67,1.08,12.55,9.71,14.69,10.67,1.85,0.09,2,,0.702807,0.513061,18.519,15.525,38.294,0.28321,,5.6,4,Canales(2002)
GALA8,2.335,-95.485,466,Galapagos,-2952,400.8,30.28,48.84,69,9,3,-0.5,50.59,0.34,1,-0.596,9.6,0.36,1,-0.087,2.32,0.09,1,0.115,12.32,0.36,1,0.755,15,0.47,1,-0.129,1.25,0.08,0.106,0.03,0.091,0.03,,48.78,1,12.95,9.71,14.68,10.43,1.91,0.08,2,,,,,,,,,,,
GALA9.,2.564,-94.337,386,Galapagos,-2584.3,1123.8,239.73,50.57,153,46,1,-0.354,50.34,0.26,1,-1.532,10.91,0.46,1,-0.164,2.31,0.08,1,0.851,11.77,0.37,1,0.561,14.27,0.33,1,-0.265,1.53,0.11,0.123,0.02,0.131,0.03,,48.28,1.13,11.75,10.55,15.97,9.86,1.8,0.09,1,,0.70292,0.513024,18.778,15.575,38.62,0.28315,,6.529,1.1,Hoggard(2017)
